Time,Temperature (°C),Dew Point (°C),Humidity (%),Wind Speed (mps),Pressure (hPc),Precipitation (hPc)
['May'],[Max Avg Min],[Max Avg Min],"['Max', 'Avg', 'Min']",[Max Avg Min],[Max Avg Min],[Total]
['1'],[21.11 18.39 16.11],[12.78 11.56  8.89],"['72', '64.6', '56']",[23. 16.  7.],[29.7 29.7 29.6],[0.]
['2'],[22.78 18.61 15.  ],[11.11  9.67  8.89],"['72', '57.0', '43']",[14.   8.1  0. ],[29.7 29.6 29.5],[0.]
['3'],[26.11 21.06 16.11],[12.22  6.5  -6.11],"['72', '42.6', '12']",[21.  11.6  1. ],[29.5 29.5 29.4],[0.]
['4'],[22.78 17.56 13.89],[12.22  6.89  3.89],"['88', '51.9', '29']",[20.  11.1  3. ],[29.5 29.4 29.4],[0.]
['5'],[22.22 17.56 13.89],[11.11  9.28  5.  ],"['82', '59.5', '43']",[22.  12.6  2. ],[29.7 29.6 29.5],[0.]
['6'],[23.89 17.39  7.78],[10.    5.33  2.78],"['81', '47.5', '27']",[13.   5.2  0. ],[29.7 29.7 29.6],[0.]
['7'],[26.11 19.56 12.22],[12.22  8.83  6.11],"['72', '52.1', '32']",[12.   5.2  1. ],[29.7 29.6 29.6],[0.]
['8'],[26.11 19.78 12.78],[15.  9.  5.],"['72', '51.0', '29']",[13.   5.2  0. ],[29.7 29.6 29.6],[0.]
['9'],[22.22 18.44 12.78],[15.   10.28  6.11],"['83', '59.6', '43']",[14.   5.7  0. ],[29.6 29.6 29.5],[0.]
['10'],[20.   17.61 16.11],[13.89 11.61 10.  ],"['77', '67.5', '56']",[28.  19.1  8. ],[29.6 29.5 29.4],[0.]
['11'],[22.22 18.39 15.  ],[11.11  5.28  1.11],"['72', '44.0', '25']",[25.  16.4  7. ],[29.7 29.6 29.5],[0.]
['12'],[25.   20.28 15.  ],[5.   3.   1.11],"['48', '33.1', '21']",[14.   8.3  2. ],[29.7 29.7 29.6],[0.]
['13'],[23.89 18.22 12.78],[12.78  8.28  3.89],"['77', '53.4', '34']",[20.   6.3  0. ],[29.7 29.7 29.6],[0.]
['14'],[21.11 17.17 12.78],[11.11  8.17  3.89],"['88', '57.8', '35']",[10.   5.7  0. ],[29.7 29.7 29.6],[0.]
['15'],[22.78 17.17  8.89],[11.11  8.11  5.  ],"['87', '57.5', '31']",[10.   4.8  0. ],[29.7 29.7 29.6],[0.]
['16'],[22.22 17.83 12.22],[12.22  9.17  5.  ],"['88', '59.0', '33']",[16.   6.5  0. ],[29.8 29.8 29.7],[0.]
['17'],[21.11 16.94 12.78],[15.   12.28 10.  ],"['94', '74.5', '53']",[8.  3.4 0. ],[29.8 29.7 29.7],[0.]
['18'],[22.78 18.67 12.78],[15.   13.28 12.22],"['94', '73.3', '53']",[12.   3.2  0. ],[29.8 29.7 29.6],[0.]
['19'],[27.78 21.61 17.22],[15.   13.67 12.78],"['83', '62.8', '39']",[16.   5.9  0. ],[29.6 29.6 29.5],[0.]
['20'],[27.22 21.11 15.  ],[15.   12.83 11.11],"['88', '61.5', '37']",[15.   6.6  0. ],[29.6 29.6 29.5],[0.]
['21'],[27.78 22.67 16.11],[12.78 10.89  7.22],"['72', '49.4', '32']",[12.   4.9  0. ],[29.6 29.6 29.6],[0.]
['22'],[27.78 22.06 17.22],[16.11 13.67 12.22],"['83', '61.1', '39']",[9.  4.2 0. ],[29.6 29.5 29.5],[0.]
['23'],[30.   24.22 17.78],[16.11  8.    2.22],"['83', '39.4', '17']",[21.   7.8  0. ],[29.6 29.5 29.5],[0.]
['24'],[27.22 22.06 15.  ],[13.89 11.33  8.89],"['82', '52.4', '34']",[13.   5.1  0. ],[29.7 29.6 29.6],[0.]
['25'],[27.22 21.89 13.89],[12.78 10.78  7.78],"['82', '51.4', '30']",[20.   8.5  0. ],[29.7 29.6 29.6],[0.]
['26'],[23.89 22.11 20.  ],[12.78 11.    8.89],"['57', '49.4', '41']",[25.  12.7  3. ],[29.6 29.6 29.6],[0.]
['27'],[25.   20.39 17.22],[11.11  6.56  2.22],"['63', '42.4', '24']",[24.  15.1  0. ],[29.7 29.6 29.6],[0.]
['28'],[26.11 20.33 12.22],[10.    7.06  3.89],"['58', '43.1', '32']",[13.   5.5  0. ],[29.7 29.6 29.6],[0.]
['29'],[27.22 20.56 12.22],[13.89  9.72  7.22],"['77', '52.3', '28']",[14.  5.  0.],[29.6 29.6 29.5],[0.]
['30'],[27.22 21.17 13.89],[15.   11.    7.78],"['77', '54.5', '30']",[16.   6.8  0. ],[29.6 29.5 29.5],[0.]
['31'],[28.89 21.94 12.78],[16.11 13.28 10.  ],"['82', '60.0', '32']",[13.   5.9  0. ],[29.7 29.6 29.6],[0.]
